feature_class	feature	cohort	n	n_NR	n_R	auc_NR_high	median_NR	median_R	delta_median_NR_minus_R	logit_beta_per_sd	logit_se	logit_OR_per_sd	logit_p	mannwhitney_p	status	meta_tau2	meta_Q	meta_I2	logit_fdr
cell_fraction	Stromal_other	GSE16879	61	33	28	0.2316017316017316	0.05706905390484456	0.06442421663370715	-0.007355162728862587	-1.2291952089605267	0.3682309298431183	0.29252790681096746	0.000843504650919475	0.0003408831988073021	ok				0.003795770929137638
cell_fraction	Stromal_other	GSE23597	32	7	25	0.5828571428571427	0.056047100961366426	0.05413058698842001	0.0019165139729464195	0.2781874991325501	0.4086090991765848	1.320733810438524	0.495988100184097	0.5317583402260821	ok				0.5797722231421519
cell_fraction	Stromal_other	GSE73661	64	39	25	0.3558974358974359	0.05427472921213267	0.05975570359069601	-0.00548097437856334	-0.4180357136891335	0.26570366147973973	0.6583387163007188	0.11564576055744051	0.05404714079127605	ok				0.1678728782285427
cell_fraction	Stromal_other	GSE92415	59	27	32	0.46990740740740744	0.05529960180156645	0.05551253913861163	-0.0002129373370451798	-0.0037663715572709045	0.26360185193169305	0.9962407123237828	0.9886001276267252	0.6980381274276537	ok				0.9976683453241083
cell_fraction	Stromal_other	random_effects	239	117	122					-0.32122164114251234	0.2367100885850291	0.725262485168805	0.1747730883378944		ok_random_effects	0.1623419493729738	9.856330507248963	0.5941694531186683	0.245774655475164
cell_fraction	T_NK	GSE12251	23	11	12	0.34090909090909094	0.06942153184522676	0.07677241512406793	-0.007350883278841175	-0.5099878333049754	0.456037528230397	0.6005028849032823	0.26343788941202806	0.20706115487008614	ok				0.33870585781546464
cell_fraction	T_NK	GSE16879	61	33	28	0.4199134199134199	0.07143382431948463	0.07794094551771868	-0.006507121198234059	-0.30867304781836313	0.2654550149127681	0.7344208512761449	0.2449076661699967	0.28743468793280513	ok				0.31944478196086523
cell_fraction	T_NK	GSE23597	32	7	25	0.5714285714285714	0.07322039559627562	0.0711615201924547	0.002058875403820923	0.342690570572375	0.44110765948547076	1.4087327910976015	0.43722575697194865	0.5922570662559539	ok				0.5246709083663383
cell_fraction	T_NK	GSE73661	64	39	25	0.518974358974359	0.06920400576307299	0.0707217351311924	-0.0015177293681194054	0.1146058235997837	0.26058138743140535	1.1214313086829295	0.6600760485812299	0.804376181050876	ok				0.7157451129194059
cell_fraction	T_NK	GSE92415	59	27	32	0.5	0.0964480808635533	0.09513194759043017	0.0013161332731231323	0.0021637612082780126	0.2635433175950295	1.0021661038288805	0.9934492276970918	1.0	ok				0.9976683453241083
cell_fraction	T_NK	random_effects	239	117	122					-0.06294119250065495	0.13702013289352336	0.9389986922304635	0.6459776365930789		ok_random_effects	0.0	3.1887632227676783	0.0	0.7089998450411842
